ve,ve,270567,
bir,bir,239054,
bu,bu,143734,
da,da,89091,
de,de,81821,
için,için,69892,
ile,ile,58530,
olarak,ol,50495,
çok,çok,48958,
daha,daha,42912,
olan,ol,37622,
en,en,36450,
gibi,gibi,36193,
her,her,31299,
kadar,kadar,27940,
ne,ne,26139,
o,o,25747,
sonra,sonra,24025,
ama,ama,22252,
ya,ya,21742,
ise,i,21061,
büyük,büyük,19356,
nin,nin,18891,
ki,ki,18771,
yeni,yeni,18737,
veya,veya,18452,
türkiye,Türkiye,18329,
ilk,ilk,17218,
in,in,17005,
var,var,16984,
ın,ın,15916,
olduğu,ol,15884,
zaman,zaman,15532,
göre,göre,14761,
tarafından,taraf,14645,
tüm,tüm,13946,
son,son,13899,
iyi,iyi,13855,
a,a,13786,
iki,iki,13609,
ancak,ancak,13510,
değil,değil,13483,
içinde,iç,13431,
olduğunu,ol,13056,
aynı,aynı,12811,
kendi,kendi,12501,
önce,önce,12378,
yer,yer,12371,
önemli,önem,12322,
şekilde,şekil,12112,
ilgili,ilgi,11999,
nın,nın,11965,
diğer,diğer,11858,
ben,ben,11709,
sadece,sadece,11390,
hem,hem,11125,
arasında,ara,10070,
fazla,fazla,10006,
nasıl,nasıl,9969,
gün,gün,9942,
karşı,karşı,9935,
türk,Türk,9628,
diye,diye,9602,
devam,devam,9557,
tek,tek,9411,
bile,bile,9217,
bütün,bütün,9186,
başka,başka,8967,
yıl,yıl,8947,
yok,yok,8896,
birlikte,birlikte,8844,
hiç,hiç,8707,
şey,şey,8578,
bunun,bu,8481,
e,e,8397,
yapılan,yapı,8394,
genel,genel,8367,
çünkü,çünkü,8353,
sahip,sahip,8320,
yani,yani,8233,
bazı,bazı,8227,
farklı,fark,8218,
insan,insan,8186,
ortaya,orta,8031,
gelen,gel,7868,
güzel,güzel,7847,
iş,iş,7786,
oldu,ol,7737,
olması,ol,7687,
özel,özel,7649,
eden,et,7644,
bunu,bu,7590,
doğru,doğru,7565,
artık,artık,7517,
üzerinde,üzer,7494,
olmak,ol,7489,
dünya,dünya,7378,
şu,şu,7323,
böyle,böyle,7317,
un,un,7187,
yine,yine,7174,
alan,al,7159,
istanbul,İstanbul,6852,
üzerine,üzer,6840,
eğitim,eğitim,6826,
az,az,6778,
biri,bir,6744,
uzun,uzun,6663,
tam,tam,6654,
yılında,yıl,6601,
bilgi,bilgi,6542,
özellikle,özellikle,6535,
vardır,var,6510,
yüksek,yüksek,6505,
üzere,üzere,6495,
ayrıca,ayrıca,6386,
kabul,kabul,6316,
başkanı,başkan,6254,
olur,ol,6235,
ye,ye,6220,
neden,neden,6168,
eğer,eğer,6065,
bulunan,bulun,6041,
biz,biz,6023,
