word, real stem, stem guess, correct?
ve, ve, ve, true
bir, bir, bir, true
bu, bu, bu, true
da, da, da, true
de, de, de, true
için, için, için, true
ile, ile, ile, true
olarak, ol, olarak, false
çok, çok, çok, true
daha, daha, da, false
olan, ol, olan, false
en, en, en, true
gibi, gibi, gibi, true
her, her, her, true
kadar, kadar, kadar, true
ne, ne, ne, true
o, o, o, true
sonra, sonra, sonra, true
ama, ama, ama, true
ya, ya, ya, true
ise, i, ise, false
büyük, büyük, büyük, true
nin, nin, nin, true
ki, ki, ki, true
yeni, yeni, yeni, true
veya, veya, ve, false
türkiye, türkiye, türkiye, true
ilk, ilk, ilk, true
in, in, in, true
var, var, var, true
ın, ın, ın, true
olduğu, ol, olduğu, false
zaman, zaman, zaman, true
göre, göre, göre, true
tarafından, taraf, tarafından, false
tüm, tüm, tüm, true
son, son, son, true
iyi, iyi, iyi, true
a, a, a, true
iki, iki, iki, true
ancak, ancak, ancak, true
değil, değil, de, false
içinde, iç, için, false
olduğunu, ol, olduğu, false
aynı, aynı, aynı, true
kendi, kendi, kendi, true
önce, önce, önce, true
yer, yer, yer, true
önemli, önem, önemli, false
şekilde, şekil, şekilde, false
ilgili, ilgi, ilgili, false
nın, nın, nın, true
diğer, diğer, diğer, true
ben, ben, ben, true
sadece, sadece, sadece, true
hem, hem, hem, true
arasında, ara, arasında, false
fazla, fazla, fazla, true
nasıl, nasıl, nasıl, true
gün, gün, gün, true
karşı, karşı, karşı, true
türk, türk, türk, true
diye, diye, diye, true
devam, devam, de, false
tek, tek, tek, true
bile, bile, bile, true
bütün, bütün, bütün, true
başka, başka, başka, true
yıl, yıl, yıl, true
yok, yok, yok, true
birlikte, birlikte, bir, false
hiç, hiç, hiç, true
şey, şey, şey, true
bunun, bu, bunu, false
e, e, e, true
yapılan, yapı, ya, false
genel, genel, genel, true
çünkü, çünkü, çünkü, true
sahip, sahip, sahip, true
yani, yani, yan, false
bazı, bazı, bazı, true
farklı, fark, farklı, false
insan, insan, in, false
ortaya, orta, ortaya, false
gelen, gel, gelen, false
güzel, güzel, güzel, true
iş, iş, iş, true
oldu, ol, oldu, false
olması, ol, olması, false
özel, özel, özel, true
eden, et, eden, false
bunu, bu, bu, true
doğru, doğru, doğru, true
artık, artık, artık, true
üzerinde, üzer, üzerinde, false
olmak, ol, olmak, false
dünya, dünya, dünya, true
şu, şu, şu, true
böyle, böyle, böyle, true
un, un, un, true
yine, yine, yine, true
alan, al, alan, false
istanbul, i̇stanbul, istanbul, false
üzerine, üzer, üzerine, false
eğitim, eğitim, eğitim, true
az, az, az, true
biri, bir, bir, true
uzun, uzun, uzun, true
tam, tam, tam, true
yılında, yıl, yıl, true
bilgi, bilgi, bilgi, true
özellikle, özellikle, özel, false
vardır, var, vardı, false
yüksek, yüksek, yüksek, true
üzere, üzere, üzere, true
ayrıca, ayrıca, ayrıca, true
kabul, kabul, kabul, true
başkanı, başkan, başkan, true
olur, ol, olur, false
ye, ye, ye, true
neden, neden, ne, false
eğer, eğer, eğer, true
bulunan, bulun, bu, false
biz, biz, biz, true
i, i, i, true
fakat, fakat, fakat, true
dan, da, da, true
hiçbir, hiçbir, hiç, false
benim, ben, beni, false
uygun, uygun, uygun, true
hemen, hemen, hem, false
sosyal, sosyal, sosyal, true
allah, allah, allah, true
onun, o, onun, false
yerine, yer, yer, true
mi, mi, mi, true
küçük, küçük, küçük, true
hakkında, hak, hakkında, false
den, de, de, true
konusunda, konu, konusunda, false
pek, pek, pek, true
birçok, birçok, bir, false
bugün, bugün, bu, false
bin, bin, bin, true
söz, söz, söz, true
su, su, su, true
kişi, kişi, ki, false
burada, bura, bu, false
şimdi, şimdi, şimdi, true
nun, nun, nun, true
kısa, kısa, kısa, true
değildir, değil, değil, true
aslında, aslında, aslında, true
avrupa, avrupa, avrupa, true
eski, eski, eski, true
kez, kez, kez, true
biraz, biraz, bir, false
ifade, ifade, ifade, true
dedi, de, de, true
etmek, et, etmek, false
altında, alt, altında, false
geçen, geç, geçen, false
işte, işte, iş, false
bizim, biz, bizi, false
onu, o, onu, false
yol, yol, yol, true
üç, üç, üç, true
hatta, hatta, hatta, true
devlet, devlet, de, false
sağlık, sağlık, sağlık, true
açık, açık, açık, true
etti, et, etti, false
olacak, ol, olacak, false
abd, abd, abd, true
edilen, edi, edilen, false
zamanda, zaman, zaman, true
yüzde, yüz, yüzde, false
gerçek, gerçek, gerçek, true
internet, internet, in, false
süre, süre, süre, true
olsun, ol, olsun, false
olabilir, ol, olabilir, false
bana, ben, bana, false
buna, bu, bu, true
yeniden, yeniden, yeni, false
geri, geri, geri, true
ı, ı, ı, true
ikinci, iki, iki, true
mı, mı, mı, true
yaptığı, yap, ya, false
size, siz, size, false
olsa, ol, olsa, false
ardından, ardından, ardından, true
zaten, zaten, zaten, true
olup, ol, olup, false
hizmet, hizmet, hizmet, true
temel, temel, temel, true
olmayan, ol, olmayan, false
mümkün, mümkün, mümkün, true
dikkat, dikkat, dikkat, true
gereken, gerek, gereken, false
insanlar, insan, insan, true
çeşitli, çeşit, çeşitli, false
saat, saat, saat, true
yapan, yap, ya, false
içerisinde, içeri, içerisinde, false
herhangi, herhangi, her, false
rağmen, rağmen, rağmen, true
an, an, an, true
günü, gün, gün, true
öyle, öyle, öyle, true
gerek, gerek, gerek, true
ediyor, et, ediyor, false
elde, el, elde, false
karar, karar, karar, true
oldukça, oldukça, oldukça, true
ay, ay, ay, true
yönetim, yönetim, yönetim, true
ta, ta, ta, true
belki, belki, belki, true
milyon, milyon, mi, false
nde, nde, nde, true
para, para, para, true
ait, ait, ait, true
yakın, yakın, ya, false
şöyle, şöyle, şöyle, true
çalışma, çalış, çalışma, false
bağlı, bağ, bağlı, false
dışında, dış, dışında, false
tekrar, tekrar, tek, false
konusu, konu, konusu, false
hep, hep, hep, true
